Molecule List Name,Precursor Name,Precursor Formula,Precursor Adduct,Precursor Charge,Product m/z,Product Charge,CCS
ymdb,PE(16:0/18:1(9Z))-p1,C39H76NO8P,[M-H]-,-1,716.523,-1,267.5
ymdb,PE(16:1(9Z)/16:1(9Z))-p1,C37H70NO8P,[M+H]+,1,688.4917,1,284.6
ymdb,PE(16:1(9Z)/16:1(9Z))-p1,C37H70NO8P,[M-H]-,-1,686.4761,-1,289.5
ymdb,PE(18:0/18:0)-p1,C41H82NO8P,[M+H]+,1,748.5856,1,286.1
ymdb,PE(18:0/18:0)-p1,C41H82NO8P,[M-H]-,-1,746.5699,-1,274.6
ymdb,PE(18:1(9Z)/18:1(9Z))-p1,C41H78NO8P,[M+H]+,1,744.5543,1,279.1
ymdb,PE(18:1(9Z)/18:1(9Z))-p1,C41H78NO8P,[M-H]-,-1,742.5387,-1,273.5
ymdb,Palmitic acid-p1,C16H32O2,[M-H]-,-1,255.233,-1,169.0
ymdb,Phosphorylcholine-p1,C5H14NO4P,[M+H]+,1,184.0732,1,137.1
ymdb,Protocatechuic acid-p1,C7H6O4,[M-H]-,-1,153.021,-1,122.9
ymdb,Protoporphyrin IX-p1,C34H34N4O4,[M+H]+,1,563.2629,1,241.7
ymdb,Purine-p1,C5H4N4,[M+H]+,1,121.0519,1,121.7
ymdb,Purine-p1,C5H4N4,[M-H]-,-1,119.0401,-1,114.6
ymdb,Pyridoxal-p1,C8H9NO3,[M+H]+,1,168.0654,1,131.3
ymdb,Pyridoxal-p1,C8H9NO3,[M-H]-,-1,166.0504,-1,129.2
ymdb,Pyridoxal 5'-phosphate-p1,C8H10NO6P,[M+H]+,1,248.0319,1,151.7
ymdb,Pyridoxal 5'-phosphate-p1,C8H10NO6P,[M-H]-,-1,246.0173,-1,150.1
ymdb,Pyridoxamine-p1,C8H12N2O2,[M+H]+,1,169.0968,1,134.4
ymdb,Pyridoxamine-p1,C8H12N2O2,[M-H]-,-1,167.0826,-1,136.4
ymdb,Pyridoxine-p1,C8H11NO3,[M+H]+,1,170.0832,1,134.5
ymdb,Pyridoxine-p1,C8H11NO3,[M-H]-,-1,168.0677,-1,134.7
